iter	MultiClass
0	1.094152149
1	1.089893717
2	1.085109108
3	1.080342819
4	1.075595363
5	1.070829148
6	1.067207082
7	1.062224372
8	1.057671312
9	1.05259073
10	1.04820722
11	1.044273931
12	1.039707976
13	1.035607827
14	1.032010203
15	1.028363687
16	1.023964013
17	1.019875411
18	1.016830909
19	1.012901938
20	1.010191606
21	1.006210325
22	1.002303803
23	0.9986763211
24	0.995391745
25	0.9916558848
26	0.9883124155
27	0.9853658662
28	0.9821794047
29	0.9796629437
30	0.9772616829
31	0.9743814499
32	0.9712421321
33	0.9684494933
34	0.9657320298
35	0.9633711701
36	0.9610784806
37	0.9584534338
38	0.9561437457
39	0.9531742047
40	0.9505727558
41	0.9478633735
42	0.9453666856
43	0.9429671178
44	0.9407864019
45	0.9385412227
46	0.9362070309
47	0.9339479348
48	0.9318514428
49	0.9295478321
50	0.927185129
51	0.9247479813
52	0.9224921296
53	0.9204170096
54	0.9185561915
55	0.9165858065
56	0.9149370854
57	0.9129820131
58	0.911314496
59	0.9096071917
60	0.9078329515
61	0.9060914799
62	0.9039737431
63	0.9024279466
64	0.9009015766
65	0.8994851365
66	0.89776698
67	0.8960905317
68	0.8943493435
69	0.8926597624
70	0.890783521
71	0.889004281
72	0.8875890455
73	0.8857084722
74	0.8845163349
75	0.8829333121
76	0.8815415432
77	0.8799523749
78	0.8785773502
79	0.877241873
80	0.8759380215
81	0.8746080721
82	0.8734157036
83	0.8721799299
84	0.8706380708
85	0.8692048258
86	0.867742127
87	0.8664598431
88	0.8653174644
89	0.8639189394
90	0.8627830991
91	0.8615047808
92	0.8603909932
93	0.859052661
94	0.8577493094
95	0.8567232975
96	0.855650095
97	0.854409902
98	0.8532003314
99	0.8521495423
100	0.8509325928
101	0.8500042083
102	0.8490017263
103	0.847864443
104	0.846868799
105	0.8457080413
106	0.8447372692
107	0.8437062759
108	0.8428377461
109	0.8416958272
110	0.8408384633
111	0.8401237528
112	0.8391395624
113	0.8381702712
114	0.8370231796
115	0.8362804272
116	0.8354344422
117	0.8344158346
118	0.8336476709
119	0.8330843631
120	0.832047872
121	0.831127708
122	0.8301682976
123	0.8293264105
124	0.8284959937
125	0.8278086718
126	0.8271112472
127	0.8262085313
128	0.8255494483
129	0.8247832139
130	0.824026994
131	0.8233768309
132	0.8224242888
133	0.8214911736
134	0.8206493581
